filename,transcription,word
child-daddy244,d daddy have glasses,daddy
child-daddy245,daddy yyy,daddy
child-daddy246,daddy,daddy
child-daddy247,xxx daddy's name,daddy
child-daddy248,that's the daddy's,daddy
child-daddy249,daddy,daddy
child-daddy250,mommy daddies,daddy
child-daddy251,what's this daddy,daddy
child-daddy252,yyy daddy,daddy
child-daddy253,daddy,daddy
child-daddy254,xxx daddy xxx too,daddy
child-daddy255,daddy,daddy
child-daddy256,thank you daddy,daddy
child-daddy257,susie mommy and daddy were glad to see him,daddy
child-daddy258,yyy daddy buy something yyy,daddy
child-daddy259,daddy,daddy
child-daddy260,daddy's,daddy
child-daddy261,i want daddy,daddy
child-daddy262,daddy said i didn't love green,daddy
child-daddy263,good morning mommy good morning daddy,daddy
child-daddy264,those are daddy's,daddy
child-daddy265,daddy daddy,daddy
child-daddy266,mm daddy came from the xxx,daddy
child-daddy267,hi daddy,daddy
child-daddy268,daddy,daddy
child-daddy269,daddy's blowing the nose,daddy
child-daddy270,hi daddy,daddy
child-daddy271,daddy,daddy
child-daddy272,yyy daddy,daddy
child-daddy273,this is the daddy,daddy
child-daddy274,daddy daddy more tomato yyy,daddy
child-daddy275,thankyou daddy,daddy
child-daddy276,oh daddy clown good for you,daddy
child-daddy277,daddy,daddy
child-daddy278,where daddy's eye glasses,daddy
child-daddy279,daddy come,daddy
child-daddy280,daddy ate the scallops,daddy
child-daddy281,daddy yah,daddy
child-daddy282,daddy,daddy
child-daddy283,crying about daddy,daddy
child-daddy284,and tayfuff daddy,daddy
child-daddy285,yeah and daddy,daddy
child-daddy286,what's daddy doing,daddy
child-daddy287,oh daddy,daddy
child-daddy288,daddy work,daddy
child-daddy289,daddy came,daddy
child-daddy290,daddy daddy,daddy
child-daddy291,she's sitting daddy's,daddy
child-daddy292,daddy hold daddy,daddy
child-daddy293,yeah to see daddy,daddy
child-daddy294,daddy,daddy
child-daddy295,no daddy,daddy
child-daddy296,mommy daddy sleep,daddy
child-daddy297,don't like my daddy,daddy
child-daddy298,daddy down,daddy
child-daddy299,and he and daddy has a penis,daddy
child-daddy300,daddy,daddy
child-daddy301,daddy,daddy
child-daddy302,hi daddy,daddy
child-daddy303,but daddy i'm gonna say omega,daddy
child-daddy304,danny's daddy's going to run,daddy
child-daddy305,you could have a sparkly crayon too daddy,daddy
child-daddy306,where are daddy's cookies,daddy
child-daddy307,wanna play daddy,daddy
child-daddy308,daddy,daddy
child-daddy309,daddy,daddy
child-daddy310,the daddy says i'm gonna go put my jacket on,daddy
child-daddy311,the daddy's xxx,daddy
child-daddy312,daddy,daddy
