corpus_name,id,speaker_id,target_child_id,age,pair,item,form,form_numeric,complexity
NewEngland,474377,1953,1950,14,mommy_mom,mommy,CDS,0,NA
NewEngland,474402,1953,1950,14,mommy_mom,mommy,CDS,0,NA
NewEngland,474453,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,474474,1953,1950,14,mommy_mom,mommy,CDS,0,NA
NewEngland,474481,1962,1960,15,mommy_mom,mommy,CDS,0,NA
NewEngland,474496,1920,1870,14,mommy_mom,mommy,CDS,0,NA
NewEngland,474664,1901,1899,14,mommy_mom,mommy,CDS,0,NA
NewEngland,474777,1962,1960,15,mommy_mom,mommy,CDS,0,NA
NewEngland,474865,1962,1960,15,mommy_mom,mommy,CDS,0,NA
NewEngland,474922,1959,1957,14,mommy_mom,mommy,CDS,0,NA
NewEngland,474936,1901,1899,14,mommy_mom,mommy,CDS,0,NA
NewEngland,475172,1901,1899,14,mommy_mom,mommy,CDS,0,NA
NewEngland,475187,1901,1899,14,mommy_mom,mommy,CDS,0,NA
NewEngland,475213,1901,1899,14,mommy_mom,mommy,CDS,0,NA
NewEngland,475327,1962,1960,15,mommy_mom,mommy,CDS,0,NA
NewEngland,475570,1901,1899,14,mommy_mom,mommy,CDS,0,NA
NewEngland,475641,1962,1960,15,mommy_mom,mommy,CDS,0,NA
NewEngland,476293,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,476425,1901,1899,14,mommy_mom,mommy,CDS,0,NA
NewEngland,476833,1962,1960,15,mommy_mom,mommy,CDS,0,NA
NewEngland,477030,1953,1950,14,mommy_mom,mommy,CDS,0,NA
NewEngland,477110,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,477133,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,477706,1956,1954,14,mommy_mom,mommy,CDS,0,NA
NewEngland,477961,1968,1966,14,mommy_mom,mommy,CDS,0,NA
NewEngland,477985,1968,1966,14,mommy_mom,mommy,CDS,0,NA
NewEngland,477993,1901,1899,14,mommy_mom,mommy,CDS,0,NA
NewEngland,478162,1968,1966,14,mommy_mom,mommy,CDS,0,NA
NewEngland,478242,1968,1966,14,mommy_mom,mommy,CDS,0,NA
NewEngland,478273,1962,1960,15,mommy_mom,mommy,CDS,0,NA
NewEngland,478333,1968,1966,14,mommy_mom,mommy,CDS,0,NA
NewEngland,478387,1962,1960,15,mommy_mom,mommy,CDS,0,NA
NewEngland,478533,1962,1960,15,mommy_mom,mommy,CDS,0,NA
NewEngland,478548,1962,1960,15,mommy_mom,mommy,CDS,0,NA
NewEngland,478694,1965,1963,14,mommy_mom,mommy,CDS,0,NA
NewEngland,479189,1968,1966,14,mommy_mom,mommy,CDS,0,NA
NewEngland,479300,1968,1966,14,mommy_mom,mommy,CDS,0,NA
NewEngland,479302,1940,1934,15,mommy_mom,mommy,CDS,0,NA
NewEngland,479351,1968,1966,14,mommy_mom,mommy,CDS,0,NA
NewEngland,479374,1968,1966,14,mommy_mom,mommy,CDS,0,NA
NewEngland,479601,1856,1854,19,mommy_mom,mommy,CDS,0,NA
NewEngland,479649,1856,1854,19,mommy_mom,mommy,CDS,0,NA
NewEngland,479657,1972,1969,14,mommy_mom,mommy,CDS,0,NA
NewEngland,479697,1856,1854,19,mommy_mom,mommy,CDS,0,NA
NewEngland,479795,1862,1860,15,mommy_mom,mommy,CDS,0,NA
NewEngland,479873,1940,1934,15,mommy_mom,mommy,CDS,0,NA
NewEngland,479959,1972,1969,14,mommy_mom,mommy,CDS,0,NA
NewEngland,480006,1972,1969,14,mommy_mom,mommy,CDS,0,NA
NewEngland,480052,1972,1969,14,mommy_mom,mommy,CDS,0,NA
NewEngland,480094,1968,1966,14,mommy_mom,mommy,CDS,0,NA
NewEngland,480320,1901,1899,14,mommy_mom,mommy,CDS,0,NA
NewEngland,480374,1901,1899,14,mommy_mom,mommy,CDS,0,NA
NewEngland,480430,1953,1950,14,mommy_mom,mommy,CDS,0,NA
NewEngland,480463,1953,1950,14,mommy_mom,mommy,CDS,0,NA
NewEngland,480642,1974,1971,14,mommy_mom,mommy,CDS,0,NA
NewEngland,480805,1977,1975,14,mommy_mom,mommy,CDS,0,NA
NewEngland,480927,1943,1941,14,mommy_mom,mommy,CDS,0,NA
NewEngland,480941,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,480965,1868,1866,20,mommy_mom,mommy,CDS,0,1.0986122886681098
NewEngland,481173,1965,1963,14,mommy_mom,mommy,CDS,0,NA
NewEngland,481227,1874,1869,19,mommy_mom,mommy,CDS,0,NA
NewEngland,481531,1865,1863,20,mommy_mom,mommy,CDS,0,NA
NewEngland,481665,1974,1971,14,mommy_mom,mommy,CDS,0,NA
NewEngland,481727,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,481894,1874,1869,19,mommy_mom,mommy,CDS,0,NA
NewEngland,481984,1972,1969,14,mommy_mom,mommy,CDS,0,NA
NewEngland,482597,1874,1869,19,mommy_mom,mommy,CDS,0,1.791759469228055
NewEngland,483003,1853,1851,20,mommy_mom,mommy,CDS,0,NA
NewEngland,483072,1856,1854,19,mommy_mom,mommy,CDS,0,NA
NewEngland,483082,1859,1857,20,mommy_mom,mommy,CDS,0,NA
NewEngland,483102,1853,1851,20,mommy_mom,mommy,CDS,0,NA
NewEngland,483189,1853,1851,20,mommy_mom,mommy,CDS,0,NA
NewEngland,483390,1853,1851,20,mommy_mom,mommy,CDS,0,NA
NewEngland,483599,1972,1969,14,mommy_mom,mommy,CDS,0,NA
NewEngland,483647,1968,1966,14,mommy_mom,mommy,CDS,0,NA
NewEngland,483956,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,483966,1974,1971,14,mommy_mom,mommy,CDS,0,NA
NewEngland,484060,1865,1863,20,mommy_mom,mommy,CDS,0,NA
NewEngland,484129,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,484168,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,484227,1856,1854,19,mommy_mom,mommy,CDS,0,NA
NewEngland,484295,1853,1851,20,mommy_mom,mommy,CDS,0,NA
NewEngland,484403,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,484568,1853,1851,20,mommy_mom,mommy,CDS,0,NA
NewEngland,484575,1850,1848,20,mommy_mom,mommy,CDS,0,NA
NewEngland,484629,1877,1875,19,mommy_mom,mommy,CDS,0,NA
NewEngland,484645,1874,1869,19,mommy_mom,mommy,CDS,0,NA
NewEngland,484797,1850,1848,20,mommy_mom,mommy,CDS,0,NA
NewEngland,484799,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,484819,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,485083,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,485193,1874,1869,19,mommy_mom,mommy,CDS,0,NA
NewEngland,485331,1850,1848,20,mommy_mom,mommy,CDS,0,NA
NewEngland,485559,1862,1860,20,mommy_mom,mommy,CDS,0,1.0986122886681098
NewEngland,485729,1972,1969,14,mommy_mom,mommy,CDS,0,NA
NewEngland,485749,1874,1869,19,mommy_mom,mommy,CDS,0,NA
NewEngland,485845,1865,1863,20,mommy_mom,mommy,CDS,0,NA
NewEngland,485974,1882,1878,20,mommy_mom,mommy,CDS,0,NA
NewEngland,486213,1877,1875,19,mommy_mom,mommy,CDS,0,NA
NewEngland,486330,1874,1869,19,mommy_mom,mommy,CDS,0,NA
NewEngland,486334,1865,1863,20,mommy_mom,mommy,CDS,0,NA
NewEngland,486431,1874,1869,19,mommy_mom,mommy,CDS,0,NA
NewEngland,486438,1868,1866,20,mommy_mom,mommy,CDS,0,1.3862943611198906
NewEngland,486481,1874,1869,19,mommy_mom,mommy,CDS,0,NA
NewEngland,486483,1865,1863,20,mommy_mom,mommy,CDS,0,NA
NewEngland,486507,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,486837,1977,1975,14,mommy_mom,mommy,CDS,0,NA
NewEngland,486841,1983,1981,20,mommy_mom,mommy,CDS,0,NA
NewEngland,486868,1977,1975,14,mommy_mom,mommy,CDS,0,NA
NewEngland,486875,1983,1981,20,mommy_mom,mommy,CDS,0,NA
NewEngland,486882,1972,1969,14,mommy_mom,mommy,CDS,0,NA
NewEngland,486989,1874,1869,19,mommy_mom,mommy,CDS,0,NA
NewEngland,487020,1983,1981,20,mommy_mom,mommy,CDS,0,NA
NewEngland,487295,1892,1890,20,mommy_mom,mommy,CDS,0,0.6931471805599453
NewEngland,487332,1874,1869,19,mommy_mom,mommy,CDS,0,NA
NewEngland,487517,1882,1878,20,mommy_mom,mommy,CDS,0,1.0986122886681098
NewEngland,487551,1882,1878,20,mommy_mom,mommy,CDS,0,NA
NewEngland,487582,1882,1878,20,mommy_mom,mommy,CDS,0,NA
NewEngland,487641,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,487656,1892,1890,20,mommy_mom,mommy,CDS,0,0.6931471805599453
NewEngland,487701,1882,1878,20,mommy_mom,mommy,CDS,0,NA
NewEngland,487804,1882,1878,20,mommy_mom,mommy,CDS,0,NA
NewEngland,487881,1874,1869,19,mommy_mom,mommy,CDS,0,NA
NewEngland,488024,1883,1879,20,mommy_mom,mommy,CDS,0,NA
NewEngland,488093,1868,1866,20,mommy_mom,mommy,CDS,0,NA
NewEngland,488367,1883,1879,20,mommy_mom,mommy,CDS,0,NA
NewEngland,488409,1883,1879,20,mommy_mom,mommy,CDS,0,NA
NewEngland,488465,1868,1866,20,mommy_mom,mommy,CDS,0,1.791759469228055
