id,complexity,item
320419,4.18074,mommy
320452,3.52,bird
320468,3.5,duck
320731,3.68,doll
320744,2.5,mommy
320772,2.22,mom
320842,3.6697900000000003,mommy
320875,2.5218546666666666,mom
320929,3.5844792,mommy
320929,3.5844792,duck
320993,3.2360419999999994,daddy
321002,4.15,horsey
321059,3.83083925,duck
321074,3.83083925,duck
321089,4.968521333333333,bird
321114,2.5,mommy
321146,2.5,mommy
321159,3.9466273333333337,pig
321161,2.5,mommy
321164,3.825846,horsey
321246,4.20649175,dog
321276,3.6966919999999996,bunny
321371,2.5,mommy
321378,3.7344613333333334,horsey
321390,3.7333333333333334,bird
321414,3.521692,horsey
321448,3.3284503333333335,dad
321574,3.8550000000000004,horse
321596,3.6966919999999996,bunny
321610,3.4033333333333333,mommy
321610,3.4033333333333333,horse
321637,3.3642513333333333,dog
321663,3.52,bird
321671,5.014506000000001,bunny
321676,2.5,mommy
321739,3.26969975,mom
321770,3.4544116666666667,mom
321790,3.52,bird
321814,3.52,bird
321818,3.399278,cat
321875,3.273346,dog
321929,2.5,mommy
322003,3.6080765,kitty
322003,3.6080765,cat
322032,3.2297575000000007,mom
322053,2.5,mommy
322056,3.0211279999999996,mommy
322079,3.536153,kitty
322080,2.5,mommy
322090,4.053499333333334,mommy
322090,4.053499333333334,mom
322092,3.131128,mommy
322111,4.15,horsey
322139,2.5,mommy
322157,3.4327820000000004,horsey
322245,3.1598938,mommy
322256,3.08,daddy
322312,4.013908666666667,duck
322333,3.5399708,duck
322385,3.2066919999999994,birdie
322391,4.09,bunny
322399,2.195,mommy
322427,4.2847235,bird
322468,2.5,mommy
322487,3.211783666666667,dad
322508,2.5,mommy
322517,3.6575773333333337,mommy
322534,3.1779314999999997,mommy
322602,3.5,duck
322728,2.5,mommy
322756,5.014506000000001,bunny
322795,3.5300000000000002,daddy
322795,3.5300000000000002,bunny
322807,3.3251585000000006,daddy
323082,3.5,duck
323099,3.376456666666667,daddy
323112,3.94,rabbit
323161,2.5733333333333333,mommy
323178,2.5,mommy
323334,2.5,mommy
323367,2.5,mommy
323368,3.9804767500000002,mommy
323370,2.5,mommy
323404,2.56,daddy
323419,2.5,mommy
323428,3.918695,bird
323507,3.4443565,mommy
323508,3.1807537999999997,bird
323537,2.5,mommy
323612,4.646540142857143,bird
323634,2.5,mommy
323680,2.5,mommy
323684,2.5,mommy
323703,2.5,mommy
323708,2.5,mommy
323792,2.5,mommy
323828,4.6711279999999995,duckie
323830,3.5,duck
323841,3.6361825000000003,mommy
323846,2.6077820000000003,mommy
323853,3.609349,birdie
323921,3.085,dog
323923,4.007569,mommy
323929,2.5,mommy
323972,3.2258880000000003,mommy
323986,2.56,daddy
324012,3.84,pig
324054,2.5,mommy
324059,4.15,horsey
324076,2.5,mommy
324139,2.56,daddy
324344,4.17,mommy
324436,4.095,bird
324545,2.8,dog
324659,4.15,horsey
324747,2.5,mommy
324839,2.5,mommy
324959,3.5,duck
324979,4.909486333333334,horsey
324984,3.6738910000000002,dolly
324988,2.5,mommy
325022,2.5,mommy
325055,2.5,mommy
325080,2.56,daddy
325126,2.5,mommy
325144,2.6077820000000003,mommy
325237,3.794692142857143,mommy
325242,3.125,dog
325281,3.81059575,dolly
325282,3.3642513333333333,dog
325287,2.5,mommy
325308,2.5,mommy
325330,4.2581897500000006,dolly
325342,3.8142513333333334,horsey
325369,4.2581897500000006,dolly
325376,2.5,mommy
325399,3.5282403333333336,mommy
325412,2.5,mommy
325452,2.6950000000000003,mom
325480,2.835,mommy
325553,3.521692,horsey
325565,3.96,mommy
325568,2.5,mommy
325582,3.88,horsey
325597,2.9785213333333336,mommy
325708,2.5,mommy
325788,4.5,bunny
325798,2.5,mommy
325819,4.3697575,bunny
325870,3.52,bird
325898,3.52,bird
325917,3.15,bird
325944,3.1966919999999996,duck
326085,4.002853666666667,stomach
326109,3.93769475,doll
326171,3.0393905,mommy
326304,3.5,duck
326355,3.196391,mommy
326416,2.937745,mom
