corpus_name,id,speaker_id,target_child_id,age,pair,item,form,form_numeric,complexity
Clark,376691,1740,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,379407,1740,1740,31,doggy_dog,doggy,CDS,0,NA
Clark,380254,1740,1740,27,doggy_dog,doggy,CDS,0,NA
Clark,380287,1740,1740,27,doggy_dog,doggy,CDS,0,NA
Clark,383858,1740,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,384075,1740,1740,29,doggy_dog,doggy,CDS,0,0.40546510810816444
Clark,384546,1740,1740,31,doggy_dog,doggy,CDS,0,NA
Clark,385305,1740,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,385359,1740,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,385391,1740,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,385539,1740,1740,28,doggy_dog,doggy,CDS,0,0.08701137698962981
Clark,388515,1740,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,393498,1740,1740,30,doggy_dog,doggy,CDS,0,NA
PetersonMcCabe,404473,1753,1753,48,doggy_dog,doggy,CDS,0,NA
PetersonMcCabe,404920,1753,1753,48,doggy_dog,doggy,CDS,0,NA
PetersonMcCabe,405034,1753,1753,48,doggy_dog,doggy,CDS,0,NA
PetersonMcCabe,407526,1753,1753,48,doggy_dog,doggy,CDS,0,NA
Clark,408411,1740,1740,37,doggy_dog,doggy,CDS,0,NA
Clark,408426,1740,1740,37,doggy_dog,doggy,CDS,0,NA
Clark,408456,1740,1740,37,doggy_dog,doggy,CDS,0,NA
PetersonMcCabe,410651,1753,1753,60,doggy_dog,doggy,CDS,0,NA
PetersonMcCabe,412303,1753,1753,60,doggy_dog,doggy,CDS,0,NA
PetersonMcCabe,415608,1753,1753,72,doggy_dog,doggy,CDS,0,NA
Clark,420736,1740,1740,37,doggy_dog,doggy,CDS,0,NA
NewEngland,465173,1851,1851,14,doggy_dog,doggy,CDS,0,NA
NewEngland,466313,1851,1851,14,doggy_dog,doggy,CDS,0,NA
NewEngland,466806,1851,1851,14,doggy_dog,doggy,CDS,0,NA
NewEngland,481038,1866,1866,20,doggy_dog,doggy,CDS,0,NA
NewEngland,484916,1851,1851,20,doggy_dog,doggy,CDS,0,NA
NewEngland,488385,1866,1866,20,doggy_dog,doggy,CDS,0,NA
NewEngland,488977,1887,1887,19,doggy_dog,doggy,CDS,0,NA
NewEngland,490132,1851,1851,20,doggy_dog,doggy,CDS,0,NA
NewEngland,492847,1902,1902,20,doggy_dog,doggy,CDS,0,NA
NewEngland,493214,1851,1851,20,doggy_dog,doggy,CDS,0,NA
NewEngland,493492,1870,1870,20,doggy_dog,doggy,CDS,0,NA
NewEngland,493737,1870,1870,20,doggy_dog,doggy,CDS,0,NA
NewEngland,494672,1890,1890,20,doggy_dog,doggy,CDS,0,NA
NewEngland,494842,1890,1890,20,doggy_dog,doggy,CDS,0,NA
NewEngland,495345,1913,1913,21,doggy_dog,doggy,CDS,0,NA
NewEngland,496844,1887,1887,19,doggy_dog,doggy,CDS,0,NA
NewEngland,498432,1930,1930,21,doggy_dog,doggy,CDS,0,NA
NewEngland,498439,1930,1930,21,doggy_dog,doggy,CDS,0,NA
NewEngland,498470,1930,1930,21,doggy_dog,doggy,CDS,0,NA
NewEngland,500191,1902,1902,20,doggy_dog,doggy,CDS,0,NA
NewEngland,500236,1957,1957,21,doggy_dog,doggy,CDS,0,NA
NewEngland,500307,1960,1960,20,doggy_dog,doggy,CDS,0,NA
NewEngland,500438,1960,1960,20,doggy_dog,doggy,CDS,0,NA
NewEngland,500660,1954,1954,21,doggy_dog,doggy,CDS,0,NA
NewEngland,501740,1902,1902,20,doggy_dog,doggy,CDS,0,NA
NewEngland,501806,1902,1902,20,doggy_dog,doggy,CDS,0,NA
NewEngland,504692,1957,1957,21,doggy_dog,doggy,CDS,0,NA
NewEngland,505572,1957,1957,21,doggy_dog,doggy,CDS,0,NA
NewEngland,505596,1957,1957,21,doggy_dog,doggy,CDS,0,NA
NewEngland,506107,1969,1969,20,doggy_dog,doggy,CDS,0,NA
NewEngland,506127,1969,1969,20,doggy_dog,doggy,CDS,0,NA
NewEngland,506644,1969,1969,20,doggy_dog,doggy,CDS,0,NA
NewEngland,506698,1969,1969,20,doggy_dog,doggy,CDS,0,NA
NewEngland,509658,1860,1860,19,doggy_dog,doggy,CDS,0,NA
NewEngland,517296,1890,1890,31,doggy_dog,doggy,CDS,0,NA
NewEngland,517629,1890,1890,31,doggy_dog,doggy,CDS,0,NA
NewEngland,519536,1903,1903,32,doggy_dog,doggy,CDS,0,NA
NewEngland,520171,1884,1884,31,doggy_dog,doggy,CDS,0,NA
NewEngland,520462,1990,1990,32,doggy_dog,doggy,CDS,0,NA
NewEngland,522044,1917,1917,32,doggy_dog,doggy,CDS,0,NA
NewEngland,522527,1870,1870,30,doggy_dog,doggy,CDS,0,NA
NewEngland,526161,1860,1860,32,doggy_dog,doggy,CDS,0,NA
NewEngland,528094,1963,1963,32,doggy_dog,doggy,CDS,0,NA
NewEngland,528096,1963,1963,32,doggy_dog,doggy,CDS,0,NA
NewEngland,528495,1934,1934,29,doggy_dog,doggy,CDS,0,NA
NewEngland,528777,1899,1899,32,doggy_dog,doggy,CDS,0,NA
NewEngland,528912,1941,1941,32,doggy_dog,doggy,CDS,0,NA
NewEngland,530792,1960,1960,29,doggy_dog,doggy,CDS,0,NA
Hall,540072,2009,2009,57,doggy_dog,doggy,CDS,0,NA
Hall,540102,2009,2009,57,doggy_dog,doggy,CDS,0,NA
Hall,549235,2251,2251,57,doggy_dog,doggy,CDS,0,NA
Hall,549644,1999,1999,57,doggy_dog,doggy,CDS,0,NA
Hall,558216,2292,2292,57,doggy_dog,doggy,CDS,0,NA
Hall,575883,2292,2292,57,doggy_dog,doggy,CDS,0,NA
Hall,577916,2029,2029,57,doggy_dog,doggy,CDS,0,NA
Hall,578149,2115,2115,57,doggy_dog,doggy,CDS,0,NA
Hall,578557,2115,2115,57,doggy_dog,doggy,CDS,0,NA
Hall,578574,2115,2115,57,doggy_dog,doggy,CDS,0,NA
Hall,600471,2052,2052,57,doggy_dog,doggy,CDS,0,NA
Hall,600512,2052,2052,57,doggy_dog,doggy,CDS,0,NA
Hall,603096,2226,2226,57,doggy_dog,doggy,CDS,0,NA
Hall,604609,2115,2115,57,doggy_dog,doggy,CDS,0,NA
Hall,608061,2303,2303,57,doggy_dog,doggy,CDS,0,NA
Hall,630887,2115,2115,57,doggy_dog,doggy,CDS,0,NA
Hall,630955,2029,2029,57,doggy_dog,doggy,CDS,0,NA
Hall,662172,2292,2292,57,doggy_dog,doggy,CDS,0,NA
Hall,671075,2292,2292,57,doggy_dog,doggy,CDS,0,NA
Peters,711455,2341,2341,18,doggy_dog,doggy,CDS,0,NA
