age,predicted,std.error,conf.low,conf.high,group,Predictor,level
-1.638,0.6261261412706929,0.43966728874221234,0.4143288042120935,0.7985675452386225,1,Rate,Prosodic
-1.637,0.6261470458425415,0.4396662503000676,0.41435096824026196,0.7985815823030917,1,Rate,Prosodic
-1.636,0.6261679499434102,0.4396652126227535,0.41437313225143885,0.7985956188771842,1,Rate,Prosodic
-1.635,0.6261888535732313,0.4396641757102754,0.41439529624552024,0.7986096549608679,1,Rate,Prosodic
-1.633,0.6262306594194602,0.4396621041798487,0.41443962418197944,0.7986377256568785,1,Rate,Prosodic
-1.632,0.6262515616357337,0.439661069561911,0.41446178812415,0.7986517602691416,1,Rate,Prosodic
-1.631,0.6262724633806895,0.43966003570883083,0.4144839520488087,0.7986657943908663,1,Rate,Prosodic
-1.629,0.6263142654563799,0.43965797029726494,0.41452827984517643,0.7986938611625727,1,Rate,Prosodic
-1.628,0.6263351657869795,0.4396569387387899,0.4145504437166772,0.7987078938124899,1,Rate,Prosodic
-1.624,0.626418762392835,0.4396528201537354,0.41463909902236945,0.7987640195051666,1,Rate,Prosodic
-1.622,0.6264605578648941,0.4396507654505906,0.4146834265655742,0.7987920794068588,1,Rate,Prosodic
-1.621,0.6264814548929708,0.43964973924638256,0.41470559030940274,0.7988061086214305,1,Rate,Prosodic
-1.62,0.626502351448989,0.4396487138070913,0.4147277540345765,0.7988201373451097,1,Rate,Prosodic
-1.619,0.6265232475328815,0.4396476891327222,0.41474991774099174,0.7988341655778642,1,Rate,Prosodic
-1.617,0.6265650382840204,0.43964564207877144,0.4147942450971322,0.7988622205704706,1,Rate,Prosodic
-1.616,0.626585932951132,0.4396446196992006,0.4148164087466491,0.7988762473302579,1,Rate,Prosodic
-1.615,0.6266068271458486,0.4396435980845732,0.4148385723769922,0.7988902735989917,1,Rate,Prosodic
-1.613,0.6266486141178281,0.43964155715017017,0.4148828995797415,0.7989183246631703,1,Rate,Prosodic
-1.612,0.6266695068949564,0.43964053783040513,0.4149050631519399,0.7989323494585506,1,Rate,Prosodic
-1.611,0.6266903991994206,0.4396395192756049,0.41492722670454907,0.7989463737627488,1,Rate,Prosodic
-1.61,0.6267112910311534,0.4396385014857747,0.41494939023746497,0.7989603975757326,1,Rate,Prosodic
-1.608,0.6267530732761563,0.43963646820104585,0.41499371724380224,0.7989884437279284,1,Rate,Prosodic
-1.607,0.6267739636892916,0.4396354527061577,0.41501588071701584,0.799002466067076,1,Rate,Prosodic
-1.606,0.6267948536294268,0.439634437976261,0.415038044170121,0.7990164879148809,1,Rate,Prosodic
-1.605,0.6268157430964945,0.4396334240113609,0.415060207603014,0.7990305092713104,1,Rate,Prosodic
-1.603,0.6268575206111582,0.43963139837657156,0.41510453440774775,0.7990585505099154,1,Rate,Prosodic
-1.602,0.6268784086586199,0.43963038670669297,0.4151266977793811,0.7990725703920264,1,Rate,Prosodic
-1.601,0.6268992962327453,0.43962937580183215,0.415148861130387,0.7990865897826339,1,Rate,Prosodic
-1.6,0.6269201833334672,0.43962836566199437,0.4151710244606617,0.7991006086817054,1,Rate,Prosodic
-1.599,0.6269410699607182,0.4396273562871849,0.41519318777010117,0.7991146270892088,1,Rate,Prosodic
-1.598,0.6269619561144313,0.439626347677409,0.4152153510586019,0.7991286450051122,1,Rate,Prosodic
-1.597,0.6269828417945393,0.43962533983267194,0.4152375143260601,0.7991426624293831,1,Rate,Prosodic
-1.596,0.6270037270009752,0.43962433275297896,0.415259677572372,0.7991566793619899,1,Rate,Prosodic
-1.595,0.6270246117336714,0.43962332643833535,0.4152818407974335,0.7991706958028998,1,Rate,Prosodic
-1.593,0.6270663797775771,0.43962131610421723,0.4153261671833914,0.7991987272095018,1,Rate,Prosodic
-1.592,0.6270872630886521,0.4396203120847532,0.41534833034408003,0.7992127421751295,1,Rate,Prosodic
-1.591,0.6271081459257193,0.4396193088303596,0.41537049348310356,0.7992267566489324,1,Rate,Prosodic
-1.59,0.6271290282887111,0.43961830634104154,0.415392656600358,0.7992407706308778,1,Rate,Prosodic
-1.589,0.6271499101775608,0.43961730461680426,0.4154148196957402,0.7992547841209343,1,Rate,Prosodic
-1.588,0.6271707915922012,0.4396163036576531,0.4154369827691458,0.7992687971190696,1,Rate,Prosodic
-1.587,0.627191672532565,0.4396153034635932,0.4154591458204713,0.7992828096252513,1,Rate,Prosodic
-1.586,0.6272125529985852,0.43961430403462975,0.41548130884961293,0.7992968216394476,1,Rate,Prosodic
-1.585,0.6272334329901949,0.4396133053707681,0.41550347185646713,0.7993108331616263,1,Rate,Prosodic
-1.584,0.6272543125073266,0.43961230747201335,0.41552563484092986,0.7993248441917553,1,Rate,Prosodic
-1.583,0.6272751915499136,0.43961131033837075,0.41554779780289786,0.7993388547298027,1,Rate,Prosodic
-1.582,0.6272960701178887,0.4396103139698455,0.4155699607422671,0.7993528647757362,1,Rate,Prosodic
-1.581,0.6273169482111848,0.43960931836644285,0.41559212365893405,0.7993668743295238,1,Rate,Prosodic
-1.58,0.6273378258297349,0.43960832352816787,0.41561428655279486,0.7993808833911334,1,Rate,Prosodic
-1.579,0.6273587029734718,0.43960732945502584,0.41563644942374595,0.7993948919605329,1,Rate,Prosodic
-1.578,0.6273795796423287,0.439606336147022,0.4156586122716836,0.7994089000376906,1,Rate,Prosodic
