age,predicted,std.error,conf.low,conf.high,group,Predictor,level
-0.967,0.6341447558326598,0.43468555825107713,0.4250861042748385,0.8025022617846811,1,Pitch range,Prosodic
-0.966,0.6341451806440644,0.4346847996521345,0.4250869151222949,0.8025023163403787,1,Pitch range,Prosodic
-0.965,0.6341456054552602,0.43468404179223924,0.42508772561615654,0.802502371125642,1,Pitch range,Prosodic
-0.964,0.6341460302662473,0.4346832846713951,0.4250885357564212,0.8025024261404721,1,Pitch range,Prosodic
-0.963,0.6341464550770257,0.43468252828960585,0.4250893455430864,0.8025024813848699,1,Pitch range,Prosodic
-0.962,0.6341468798875954,0.43468177264687546,0.42509015497615,0.8025025368588367,1,Pitch range,Prosodic
-0.961,0.6341473046979564,0.4346810177432077,0.4250909640556093,0.8025025925623733,1,Pitch range,Prosodic
-0.96,0.6341477295081088,0.43468026357860645,0.4250917727814622,0.8025026484954809,1,Pitch range,Prosodic
-0.959,0.6341481543180525,0.43467951015307565,0.4250925811537062,0.8025027046581606,1,Pitch range,Prosodic
-0.958,0.6341485791277874,0.43467875746661905,0.42509338917233885,0.8025027610504133,1,Pitch range,Prosodic
-0.957,0.6341490039373137,0.4346780055192405,0.4250941968373579,0.8025028176722401,1,Pitch range,Prosodic
-0.956,0.6341494287466313,0.4346772543109438,0.42509500414876106,0.802502874523642,1,Pitch range,Prosodic
-0.955,0.6341498535557402,0.43467650384173284,0.4250958111065458,0.8025029316046202,1,Pitch range,Prosodic
-0.954,0.6341502783646403,0.43467575411161147,0.4250966177107097,0.8025029889151756,1,Pitch range,Prosodic
-0.953,0.6341507031733319,0.4346750051205834,0.4250974239612508,0.8025030464553092,1,Pitch range,Prosodic
-0.952,0.6341511279818146,0.4346742568686526,0.42509822985816614,0.8025031042250222,1,Pitch range,Prosodic
-0.951,0.6341515527900887,0.4346735093558227,0.4250990354014538,0.8025031622243155,1,Pitch range,Prosodic
-0.95,0.6341519775981541,0.43467276258209775,0.42509984059111133,0.8025032204531901,1,Pitch range,Prosodic
-0.949,0.6341524024060108,0.4346720165474814,0.4251006454271363,0.8025032789116472,1,Pitch range,Prosodic
