word,aoa
sock,21
soda,26
sofa,30
soft,26
some,26
soup,25
spill,26
splash,25
spoon,20
sprinkler,29
squirrel,25
stairs,25
stand,26
star,22
stay,26
stick,24
sticky,26
stone,30
stop,23
store,24
story,25
stove,26
strawberry,24
street,25
stroller,25
stuck,26
sun,23
sweater,24
sweep,26
swim,25
swing,22.5
table,24
take,27
talk,26
tape,26
taste,28
teacher,28
tear,29
teddybear,23
telephone,21
thank you,18
that,24
the,27
there,25
these,29
they,30
think,30
thirsty,26
this,25
this little piggy,27
those,30
throw,24
tickle,23
tiger,24
time,30
tiny,30
tired,26
tissue,25
to,27
toast,23
today,29
toe,21
tomorrow,29
tongue,23
tonight,30
too,26
tooth,22
toothbrush,22
touch,26
towel,23
toy,21
tractor,25
train,21
trash,24
tree,20
tricycle,29
truck,19
try,28
tummy,22
tuna,30
turkey,27
turn around,26
turtle,23
tv,22
uncle,26
under,27
underpants,27
up,19
vacuum,24
vitamins,27
vroom,17
wait,26
wake,27
walk,23
wanna,25
wash,24
washing machine,27
watch,25
water,19
water (not beverage),20
we,30
wet,23
what,24
where,25
white,27
who,28
why,28
will,30
wind,26
window,25
windy,27
wipe,26
with,28
wolf,28
work,24.5
write,27
yard,27
yellow,24
yes,18
yogurt,24
you,24
your,29
yucky,22
zebra,25
zipper,25
zoo,26
