word,babiness
up,3
us,4.916666667
vacuum,2
vagina,5.133333333
vanilla,3.818181818
vitamins,5.3
vroom,5.5
wait,4.3
wake,5.411764706
walk,4.538461538
walker,7.6
wanna,4.545454545
was,3.181818182
wash,5.454545455
we,2.461538462
were,2.470588235
wet,6.588235294
what,4.363636364
when,2.75
where,2.388888889
which,1.214285714
white,3.727272727
who,2.7
why,3.4
will,1.818181818
wind,2.545454545
window,3
windy,1.6
wipe,8.266666667
wish,3.916666667
with,3.818181818
wolf,1.181818182
woods,1.294117647
woof,2.7
would,1.181818182
write,1.357142857
yard,2.6
yellow,2.538461538
yes,4.25
yesterday,2.0625
yogurt,3.5
you,2.545454545
your,2.333333333
yourself,4.235294118
yucky,5.3
yum,4.333333333
zebra,1.727272727
zipper,2.7
zoo,3.727272727
down,2
